Ind_ID_temp,Grp_ID_temp,block_dummy,cond_dummy,round,contr_player,mean_contr_others_prev,mean_contr_others_prev_c
1,20,0,1,2,12,15,5.122844827586217
1,20,0,1,3,2,11.666666666666666,1.7895114942528831
1,20,0,1,4,6,12,2.122844827586217
1,20,0,1,5,8,8,-1.877155172413783
1,20,0,1,6,0,6.333333333333333,-3.54382183908045
1,20,0,1,7,4,5.666666666666667,-4.210488505747116
1,20,0,1,8,1,2.3333333333333335,-7.543821839080449
1,20,0,1,9,0,2.3333333333333335,-7.543821839080449
1,20,0,1,10,1,1.3333333333333333,-8.543821839080449
1,20,0,1,11,5,1.3333333333333333,-8.543821839080449
1,20,0,1,12,7,3,-6.877155172413783
1,20,0,1,13,6,3.6666666666666665,-6.210488505747117
1,20,0,1,14,8,4,-5.877155172413783
1,20,0,1,15,7,4.333333333333333,-5.54382183908045
1,20,0,1,16,6,4,-5.877155172413783
1,20,0,1,17,0,3,-6.877155172413783
1,20,0,1,18,2,3,-6.877155172413783
1,20,0,1,19,4,3.3333333333333335,-6.543821839080449
1,20,0,1,20,3,3.3333333333333335,-6.543821839080449
1,20,0,1,21,0,2.6666666666666665,-7.210488505747117
1,20,0,1,22,1,2.6666666666666665,-7.210488505747117
1,20,0,1,23,2,2,-7.877155172413783
1,20,0,1,24,0,1,-8.877155172413783
1,20,0,1,25,0,3,-6.877155172413783
1,20,0,1,26,1,2.3333333333333335,-7.543821839080449
1,20,0,1,27,3,4,-5.877155172413783
1,20,0,1,28,2,2.6666666666666665,-7.210488505747117
1,20,0,1,29,0,1,-8.877155172413783
1,20,0,1,30,0,3.6666666666666665,-6.210488505747117
1,20,1,1,2,19,12.666666666666666,2.789511494252883
1,20,1,1,3,18,14.666666666666666,4.789511494252883
1,20,1,1,4,18,15.666666666666666,5.789511494252883
1,20,1,1,5,19,16.333333333333332,6.456178160919549
1,20,1,1,6,18,17,7.122844827586217
1,20,1,1,7,18,17.333333333333332,7.456178160919549
1,20,1,1,8,19,17.333333333333332,7.456178160919549
1,20,1,1,9,19,18,8.122844827586217
1,20,1,1,10,19,18,8.122844827586217
1,20,1,1,11,19,18.333333333333332,8.45617816091955
1,20,1,1,12,20,18.666666666666668,8.789511494252885
1,20,1,1,13,20,19,9.122844827586217
1,20,1,1,14,20,19.333333333333332,9.45617816091955
1,20,1,1,15,20,20,10.122844827586217
1,20,1,1,16,20,20,10.122844827586217
1,20,1,1,17,20,20,10.122844827586217
1,20,1,1,18,20,19.666666666666668,9.789511494252885
1,20,1,1,19,20,20,10.122844827586217
1,20,1,1,20,20,19.666666666666668,9.789511494252885
1,20,1,1,21,19,20,10.122844827586217
1,20,1,1,22,20,19.666666666666668,9.789511494252885
1,20,1,1,23,20,20,10.122844827586217
1,20,1,1,24,20,19.333333333333332,9.45617816091955
1,20,1,1,25,20,20,10.122844827586217
1,20,1,1,26,20,20,10.122844827586217
1,20,1,1,27,20,20,10.122844827586217
1,20,1,1,28,20,19.666666666666668,9.789511494252885
1,20,1,1,29,20,20,10.122844827586217
1,20,1,1,30,20,20,10.122844827586217
2,20,0,1,2,13,15,5.122844827586217
2,20,0,1,3,11,11,1.122844827586217
2,20,0,1,4,10,10,0.12284482758621706
2,20,0,1,5,5,6.666666666666667,-3.210488505747116
2,20,0,1,6,5,4,-5.877155172413783
2,20,0,1,7,5,4.333333333333333,-5.54382183908045
2,20,0,1,8,5,4.666666666666667,-5.210488505747116
2,20,0,1,9,8,6.666666666666667,-3.210488505747116
2,20,0,1,10,6,6,-3.877155172413783
2,20,0,1,11,3,5,-4.877155172413783
2,20,0,1,12,2,3.3333333333333335,-6.543821839080449
2,20,0,1,13,2,1.3333333333333333,-8.543821839080449
2,20,0,1,14,4,2.3333333333333335,-7.543821839080449
2,20,0,1,15,4,3.6666666666666665,-6.210488505747117
2,20,0,1,16,5,4.333333333333333,-5.54382183908045
2,20,0,1,17,1,3,-6.877155172413783
2,20,0,1,18,0,1,-8.877155172413783
2,20,0,1,19,3,4.333333333333333,-5.54382183908045
2,20,0,1,20,6,4,-5.877155172413783
2,20,0,1,21,4,2.3333333333333335,-7.543821839080449
2,20,0,1,22,2,2.6666666666666665,-7.210488505747117
2,20,0,1,23,0,0.6666666666666666,-9.210488505747117
2,20,0,1,24,3,3.3333333333333335,-6.543821839080449
2,20,0,1,25,3,2.3333333333333335,-7.543821839080449
2,20,0,1,26,1,1.6666666666666667,-8.210488505747117
2,20,0,1,27,5,3.3333333333333335,-6.543821839080449
2,20,0,1,28,3,1.6666666666666667,-8.210488505747117
2,20,0,1,29,4,4,-5.877155172413783
2,20,0,1,30,4,3.3333333333333335,-6.543821839080449
2,20,1,1,2,16,14,4.122844827586217
2,20,1,1,3,16,15.666666666666666,5.789511494252883
2,20,1,1,4,16,16.333333333333332,6.456178160919549
2,20,1,1,5,17,17,7.122844827586217
2,20,1,1,6,18,17.666666666666668,7.789511494252885
2,20,1,1,7,18,17.333333333333332,7.456178160919549
2,20,1,1,8,18,17.333333333333332,7.456178160919549
2,20,1,1,9,18,18.333333333333332,8.45617816091955
2,20,1,1,10,18,18.333333333333332,8.45617816091955
2,20,1,1,11,19,18.666666666666668,8.789511494252885
2,20,1,1,12,19,18.666666666666668,8.789511494252885
2,20,1,1,13,19,19.333333333333332,9.45617816091955
2,20,1,1,14,20,19.666666666666668,9.789511494252885
2,20,1,1,15,20,20,10.122844827586217
2,20,1,1,16,20,20,10.122844827586217
2,20,1,1,17,20,20,10.122844827586217
2,20,1,1,18,20,19.666666666666668,9.789511494252885
